id,name,tableName
715,Level 1,Sirva_YM_LOV
716,Level 2,Sirva_YM_LOV
717,Level 3,Sirva_YM_LOV
718,Level 4,Sirva_YM_LOV
719,Level 5,Sirva_YM_LOV
720,Level 6,Sirva_YM_LOV
721,Level 7,Sirva_YM_LOV
722,Level 8,Sirva_YM_LOV
723,Level 9,Sirva_YM_LOV
724,Level 10,Sirva_YM_LOV
725,Level 11,Sirva_YM_LOV
726,Level 12,Sirva_YM_LOV
727,Level 13,Sirva_YM_LOV
728,Level 14,Sirva_YM_LOV
729,Level 15,Sirva_YM_LOV
800,Level 16,Sirva_YM_LOV
801,Level 17,Sirva_YM_LOV
802,Level 18,Sirva_YM_LOV
803,Level 19,Sirva_YM_LOV
804,Level 20,Sirva_YM_LOV
