id,name,tableName
681,Actual Cash Value,VALUATION_DEDUCTIBLE_LOV
682,Declared Value,VALUATION_DEDUCTIBLE_LOV
683,ECP - $0 Ded,VALUATION_DEDUCTIBLE_LOV
684,ECP - $250 Ded,VALUATION_DEDUCTIBLE_LOV
685,ECP - $500 Ded,VALUATION_DEDUCTIBLE_LOV
686,MVP - $0 Ded,VALUATION_DEDUCTIBLE_LOV
687,MVP - $250 Ded,VALUATION_DEDUCTIBLE_LOV
688,MVP - $500 Ded,VALUATION_DEDUCTIBLE_LOV
689,$0 Ded,VALUATION_DEDUCTIBLE_LOV
690,$250 Ded,VALUATION_DEDUCTIBLE_LOV
691,$500 Ded,VALUATION_DEDUCTIBLE_LOV
692,FVP $0 Deductible,VALUATION_DEDUCTIBLE_LOV
693,FVP $250 Deductible,VALUATION_DEDUCTIBLE_LOV
694,FVP $500 Deductible,VALUATION_DEDUCTIBLE_LOV
695,"$6,000",VALUATION_BRACKETS_LOV
696,"$10,000",VALUATION_BRACKETS_LOV
697,"$15,000",VALUATION_BRACKETS_LOV
698,"$20,000",VALUATION_BRACKETS_LOV
699,"$25,000",VALUATION_BRACKETS_LOV
700,"$30,000",VALUATION_BRACKETS_LOV
701,"$35,000",VALUATION_BRACKETS_LOV
702,"$40,000",VALUATION_BRACKETS_LOV
703,"$50,000",VALUATION_BRACKETS_LOV
704,"$60,000",VALUATION_BRACKETS_LOV
705,"$75,000",VALUATION_BRACKETS_LOV
706,"$100,000",VALUATION_BRACKETS_LOV
707,"$125,000",VALUATION_BRACKETS_LOV
708,"$150,000",VALUATION_BRACKETS_LOV
709,"$175,000",VALUATION_BRACKETS_LOV
710,"$200,000",VALUATION_BRACKETS_LOV
711,"$225,000",VALUATION_BRACKETS_LOV
712,"$250,000",VALUATION_BRACKETS_LOV
713,"Over $250,000",VALUATION_BRACKETS_LOV
714,"$5,000",VALUATION_BRACKETS_LOV
805,150,VALUATION_EXTRACTION
806,150,VALUATION_EXTRACTION
807,Free,VALUATION_FREEFVP_LOV
808,FVPFlatCharge,VALUATION_FREEFVP_LOV
809,IncreasedBaseLiability,VALUATION_FREEFVP_LOV
811,$0.60/lb. Released,VALUATION_DEDUCTIBLE_LOV
812,Day,SITValuation_FREQ
813,Month,SITValuation_FREQ
